単語,意味
analyze,分析する
alternative,代わりの・代案
annual,年に一度の・毎年の
apply,申し込む・適用する
appointment,予約・職務
appreciate,感謝する・正しく評価する
approve,承認する・賛成する
approximately,おおよそ
arrangement,手配・合意
article,記事・品物
ascertain,確かめる
assign,割り当てる
assistance,援助
assume,引き受ける・想定する
attachment,添付ファイル
attendance,出席
available,利用可能な・入手可能な
benefit,利益・手当
bill,請求書・法案
board,取締役会・掲示板
budget,予算
candidate,候補者
cancellation,取り消し
capacity,収容能力・役割
clerical,事務の
colleague,同僚
commence,始まる
commitment,献身・約束
committee,委員会
complimentary,無料の・称賛の
comply,従う
comprehensive,包括的な
conduct,実施する・行う
confidential,機密の
confirm,確認する
congratulate,祝う
consecutive,連続した
considerable,かなりの
construction,建設
consultation,相談
contribution,貢献・寄付
convenience,便利
correspondence,通信・やり取り
deadline,締め切り
demonstrate,実演する・示す
description,説明・描写
designated,指定された
destination,目的地
directory,名簿
distribute,配布する
eligible,資格がある
enclosure,同封物
endorse,支持する・裏書きする
ensure,確実にする
entitle,権利を与える
equipment,備品・機器
estimate,見積もる・見積書
executive,役員
expansion,拡大
expedite,早める
expense,経費
expertise,専門知識
expiration,有効期限
facility,施設
flexible,柔軟な
fluctuate,変動する
guarantee,保証する
hesitate,ためらう
implement,実行する
incentive,動機・報奨金
incorporate,組み込む
indication,兆候
initially,最初は
inquiry,問い合わせ
installation,設置・導入
insurance,保険
inventory,在庫
invoice,送り状・請求書
itinerary,旅程表
maintenance,保守・維持
mandatory,義務的な
merchandise,商品
negotiation,交渉
notify,通知する
objective,目的・客観的な
occupancy,占有・（ホテルの）利用率
operational,稼働中の
outstanding,未払いの・傑出した
participation,参加
permission,許可
personnel,人員・人事部
precisely,正確に
preliminary,予備の
priority,優先事項
procedure,手順
productivity,生産性
prohibit,禁止する
prospective,将来の・見込みの
quarterly,年4回の・四半期ごとの
registration,登録
